ipv4,asn
1.39.105.0/24,38266
1.39.106.0/24,38266
1.39.107.0/24,38266
1.39.108.0/24,38266
1.39.109.0/24,38266
1.39.110.0/24,38266
1.39.111.0/24,38266
1.39.112.0/22,38266
1.39.112.0/24,38266
1.39.113.0/24,38266
1.39.114.0/24,38266
1.39.115.0/24,38266
1.39.116.0/22,38266
1.39.116.0/24,38266
1.39.117.0/24,38266
1.39.118.0/24,38266
1.39.128.0/20,38266
1.39.192.0/22,38266
1.39.196.0/22,38266
1.39.200.0/22,38266
1.39.204.0/22,38266
1.39.208.0/22,38266
1.39.212.0/22,38266
1.39.216.0/23,38266
1.39.218.0/23,38266
1.39.220.0/24,38266
1.39.222.0/23,38266
1.39.224.0/19,38266
1.39.224.0/22,38266
1.39.228.0/22,38266
1.39.232.0/22,38266
1.39.236.0/23,38266
1.39.238.0/23,38266
1.39.240.0/22,38266
1.39.244.0/22,38266
1.39.248.0/23,38266
1.39.250.0/23,38266
1.39.252.0/22,38266
1.187.16.0/22,45271
1.187.20.0/22,45271
1.187.24.0/22,45271
1.187.32.0/23,45271
1.187.34.0/23,45271
1.187.36.0/23,45271
1.187.38.0/23,45271
1.187.40.0/23,45271
1.187.42.0/23,45271
1.187.44.0/23,45271
1.187.46.0/23,45271
1.187.48.0/23,45271
1.187.50.0/23,45271
1.187.52.0/23,45271
1.187.54.0/23,45271
1.187.56.0/23,45271
1.187.58.0/23,45271
1.187.60.0/23,45271
1.187.62.0/23,45271
1.187.64.0/20,45271
1.187.80.0/22,45271
1.187.80.0/23,45271
1.187.82.0/23,45271
1.187.84.0/22,45271
1.187.84.0/23,45271
1.187.86.0/23,45271
1.187.88.0/22,45271
1.187.88.0/23,45271
1.187.90.0/23,45271
1.187.92.0/22,45271
1.187.92.0/23,45271
1.187.94.0/23,45271
1.187.96.0/23,45271
1.187.98.0/23,45271
1.187.100.0/23,45271
1.187.102.0/23,45271
1.187.104.0/23,45271
1.187.106.0/23,45271
1.187.108.0/23,45271
1.187.110.0/23,45271
1.187.112.0/21,45271
1.187.120.0/21,45271
1.187.128.0/23,45271
1.187.130.0/23,45271
1.187.132.0/23,45271
1.187.134.0/23,45271
1.187.136.0/23,45271
1.187.138.0/23,45271
1.187.140.0/23,45271
1.187.142.0/23,45271
1.187.144.0/22,45271
1.187.148.0/22,45271
1.187.152.0/22,45271
1.187.156.0/22,45271
1.187.180.0/24,45271
1.187.181.0/24,45271
1.187.183.0/24,45271
1.187.184.0/22,45271
1.187.188.0/22,45271
1.187.212.0/24,45271
1.187.213.0/24,45271
1.187.214.0/24,45271
1.187.215.0/24,45271
1.187.216.0/24,45271
1.187.217.0/24,45271
1.187.219.0/24,45271
1.187.220.0/24,45271
1.187.221.0/24,45271
1.187.222.0/24,45271
1.187.223.0/24,45271
1.187.240.0/22,45271
1.187.244.0/22,45271
1.187.248.0/22,45271
1.187.252.0/22,45271
2.22.176.0/20,55836
2.23.32.0/19,55836
2.56.116.0/24,133619
2.56.228.0/22,203020
2.57.76.0/22,203020
2.57.176.0/22,203020
2.58.76.0/22,203020
2.58.76.0/24,207990
2.58.77.0/24,207990
2.58.78.0/24,207990
2.58.79.0/24,207990
5.44.248.0/24,203020
5.62.152.0/24,207990
5.62.153.0/24,207990
5.62.154.0/24,207990
5.62.155.0/24,207990
5.62.156.0/24,207990
5.62.157.0/24,207990
5.62.158.0/24,207990
5.62.159.0/24,207990
5.154.174.0/24,203020
5.157.160.0/22,133296
5.180.8.0/24,203020
5.180.9.0/24,203020
5.180.10.0/24,203020
5.180.11.0/24,203020
5.180.105.0/24,197555
5.180.244.0/22,203020
5.180.244.0/24,203020
5.180.245.0/24,203020
5.180.246.0/24,203020
5.180.247.0/24,203020
5.181.204.0/22,203020
5.183.36.0/24,203020
5.183.37.0/24,203020
5.183.38.0/24,203020
5.183.39.0/24,203020
5.183.94.0/24,203020
14.1.116.0/22,134929
14.1.116.0/24,134929
14.1.117.0/24,134929
14.1.118.0/24,134929
14.1.119.0/24,134929
14.1.120.0/24,134881
14.1.121.0/24,134881
14.96.1.0/24,17762
14.96.2.0/23,17762
14.96.8.0/21,45820
14.96.96.0/20,134540
14.96.112.0/20,134540
14.97.0.0/21,45820
14.97.8.0/21,45820
14.97.16.0/21,45820
14.97.24.0/21,45820
14.97.32.0/21,45820
14.97.40.0/21,45820
14.97.48.0/21,45820
14.97.56.0/21,45820
14.97.64.0/21,45820
14.97.68.0/24,45820
14.97.72.0/21,45820
14.97.80.0/21,45820
14.97.88.0/21,45820
14.97.96.0/21,45820
