asn,name,country
45954,SPEEDONLINE-AS-AP SpeedOnline.Net.Pvt.Ltd.,IN
45955,PHILLIPCAPTIAL-IN PhillipCapital India Private Limited,IN
46068,ZENSAR-TECH-09-AS-AP Zensar Technologies Ltd,IN
46071,PIONEER-CDN-AS-IN Pioneer Elabs Ltd.,IN
49378,BG-EXTREME,IN
55333,"TATA-2-NET-IN EL6,TTC Industrial Area,Electronics Zone",IN
55341,ORANGEINFOCOM-IN-IN 51A RACHNA MIDAS GOKULPETH,IN
55351,KAIZENINFO-AS KAIZEN INFONET PRIVATE LIMITED,IN
55352,MCPL-IN Microscan Infocommtech Private Limited,IN
55353,RPNET-AS-AP RAJESH PATEL NET SERVICES PVT. LTD.,IN
55398,WISHNET-AS-AP WISH NET PRIVATE LIMITED,IN
55410,VIL-AS-AP Vodafone Idea Ltd,IN
55428,MASSINFONET-AS-AP Mass Infonet P Ltd.,IN
55429,LLNW-IN Limelight Networks India,IN
55441,TTSLMEIS-AS-AP TTSL-ISP DIVISION,IN
55448,GLOBALLOGIC-IN GlobalLogic India Ltd.,IN
55459,SERVION-NET256-AS-AP Servion Global Solutions Ltd,IN
55460,TATA-AS Tata Communications Limited,IN
55470,CYFUTURE-AS-IN Cyfuture India Pvt. Ltd.,IN
55474,MASTER-NET-AS-AP Master Capital Services Ltd,IN
55479,IITKNET-AS-AP IIT Kanpur,IN
55507,TEJAYS-AS Tejays Dynamic Limited,IN
55535,IRINN-AS Indian Registry for Internet Names and Numbers,IN
55540,BLAZENET-AS-AP Blazenet Pvt Ltd,IN
55557,BHARTI-MO-AS-AP Bharti Airtel Limited,IN
55563,DR-NETWORK-IN Dr.Reddys Laboratories Ltd,IN
55574,PRODAPT-IN # 9 Seshardi Road,IN
55577,BEAMTELE-AS-AP Atria Convergence Technologies pvt ltd,IN
55637,HOST-AS-AP Hostin Services Private Limited,IN
55644,VIL-AS-AP Vodafone Idea Ltd,IN
55711,BRAINPULSE-IN Brainpulse Technologies Pvt. Ltd.,IN
55713,DISHNET-AS-AP Dishnet Wireless Limited,IN
55734,SYMBIOS-IN 001 IT Complex,IN
55740,TTSLMEIS-AS-AP TTSL-ISP DIVISION,IN
55756,TCISL-AS-AP TATA Communications Internet Services Ltd,IN
55757,SYNNET-AS-AP Synechron Inc.,IN
55764,BERKMEER-AS-AP Berkmeer India Private Limited,IN
55782,OBOPAYNET-IN Obopay Mobile Technology India Pvt Ltd,IN
55804,NEWSWIRE-IN Army &amp; Navy Building,IN
55806,VIVACOMM-IN Ms VIVA Communications,IN
55814,SINETISP-IN Siliguri Internet &amp; Cable TV Pvt. Ltd.,IN
55824,NKN-CORE-NW NKN Core Network,IN
55831,AIRCEL-IN Aircel Ltd.,IN
55832,HOMESYSTEM-AS-AP HOME SYSTEMS PVT.LTD,IN
55836,RELIANCEJIO-IN Reliance Jio Infocomm Limited,IN
55839,MICROSENSE-AS-AP Microsense Private Limited,IN
55847,NKN-EDGE-NW NKN EDGE Network,IN
55862,WNET-IN Wan &amp; Lan Internet Pvt Ltd,IN
55879,SMARTLINK-POWAI-IN SmartLink Broadband Services Pvt Ltd,IN
55947,BBNL-IN Bangalore Broadband Network Pvt Ltd,IN
56056,AMITY-IN Sector 125,IN
56064,D2V-IN D2V ISP PVT.LTD,IN
56077,HUL-IT-IN Mobius Towers V Floor,IN
56097,JOISTER-AS Joister Group of Companies.,IN
56107,JAGRAN-NET-IN Jagran Building,IN
56108,PFLNET4-IN PrimeFocus House Opp Citi Bank,IN
56110,EVERDATA-DATACENTERS Everdata Technologies Pvt Ltd,IN
56124,GETNET-IN Mousumi Apartment 56 Sreenagar Main Road,IN
56125,PDRSOLUTIONSFZC-AS-AP P.D.R Solutions FZC,IN
56166,IISERBNET-IN IISER Bhopal Campus,IN
56201,ZOHO-IN Zoho Corporation Pvt. Ltd,IN
56209,RKINFRATEL-IN R. K. INFRATEL LIMITED,IN
56268,SREERAM-NED1-IN Northeast Dataa Network Pvt Ltd,IN
56272,PULSE-IN Pulse Telesystems Pvt Ltd,IN
56278,ARY-IN 35B Potential House 2nd Floor,IN
56283,FLSMIDTHINDIA-IN 34 Egatoor Kelambakkam,IN
56285,DIGITRAL-IN DIGITRAL PRIVATE LIMITED,IN
56290,MEGASOFT-IN 6-3-119221 Kundanbagh Begumpet,IN
56315,INPL-IN-AP Ishans Network - Allocated -Prime,IN
58405,"UNITEDTELECOMS-IN 18A19,DODDANEKUNDI",IN
58419,DATAVAIL-IN Datavail Infotech Pvt Ltd,IN
58432,BISHAGNI-IN Bishagni Networks Private Limited,IN
58438,APNANET4-IN ApnaTeleLink pvt. Ltd.,IN
58442,DISHTVINDIA-AS Film City 19,IN
58457,GITAM-NETWORK-IN Gandhi Nagar,IN
58462,DATAVAIL-BANGALORE-AS-IN Datavail Infotech Pvt Ltd,IN
58522,HTCGLOBAL-IN HTC Global Services INDIA Private Ltd,IN
58529,ZNET-IN ZNet Technologies Private Limited,IN
58577,ESDS-COMMUNICATIONS-AS-AP ESDS Internet Services Pvt Ltd,IN
58585,OPTRAPONDY14IN OPTRA ADVANCED TECHNOLOGIES,IN
58590,AMTRON-IN Assam Electronics Development Corp Ltd,IN
58594,INFRANETSOLUTIONS-IN INFRANET SOLUTIONS,IN
58597,MSINFOWEB-IN M.S. Info Web Pvt. Ltd.,IN
58608,TATATELE-IN TTML Mumbai Turbhe,IN
58640,NEXTRA-IN NEXTRA TELESERVICES PVT. LTD.,IN
58641,TRUNKOZ-IN Trunkoz Technologies Pvt Ltd,IN
58659,QCPL-IN Quest Consultancy Pvt Ltd,IN
58664,ADOBE-NET-INFRA ADOBE-NET-INFRA,IN
